Bar Diameter,Maximum bar length,Reinforcement Volume,Rebar Number,Mark,Total Bar Length,Quantity,Workset,Host Category,Host Mark,REBAR-PARTITION,WEIGHT IN KG,Style,Bend Diameter
12 mm,2650 mm,899.12 cm³,1863,1863,7950 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.067113,Standard,48 mm
12 mm,1717 mm,971.15 cm³,2861,2898,8587 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.633235,Standard,48 mm
12 mm,1024 mm,579.15 cm³,2852,2889,5121 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,4.552104,Standard,48 mm
12 mm,1024 mm,579.15 cm³,2852,2889,5121 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,4.552104,Standard,48 mm
12 mm,2650 mm,299.71 cm³,1863,1863,2650 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,2.355704,Standard,48 mm
12 mm,2650 mm,299.71 cm³,1863,1863,2650 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,2.355704,Standard,48 mm
12 mm,5772 mm,3264.22 cm³,2853,2890,28862 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,25.656773,Standard,48 mm
12 mm,5772 mm,3264.22 cm³,2853,2890,28862 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,25.656773,Standard,48 mm
12 mm,8483 mm,3837.69 cm³,2850,2888,33933 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,30.16421,Standard,48 mm
12 mm,6000 mm,2714.40 cm³,2854,2891,24001 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,21.335167,Standard,48 mm
12 mm,2400 mm,5700.38 cm³,2858,2895,50402 mm,21,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,44.805013,Standard,48 mm
12 mm,2400 mm,5700.21 cm³,2858,2895,50401 mm,21,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,44.803688,Standard,48 mm
12 mm,5350 mm,1815.21 cm³,1848,1705,16050 mm,3,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,14.267568,Standard,48 mm
12 mm,5350 mm,1815.21 cm³,1848,1705,16050 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,14.267568,Standard,48 mm
12 mm,3080 mm,1393.47 cm³,2860,2897,12321 mm,4,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,10.952684,Standard,48 mm
12 mm,5350 mm,1815.21 cm³,1848,1705,16050 mm,3,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,14.267568,Standard,48 mm
12 mm,5350 mm,605.07 cm³,1848,1705,5350 mm,1,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,4.755856,Standard,48 mm
12 mm,1300 mm,3088.15 cm³,2848,2886,27305 mm,21,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,24.272826,Standard,48 mm
12 mm,1300 mm,3088.15 cm³,2848,2886,27305 mm,21,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,24.272826,Standard,48 mm
12 mm,5350 mm,605.07 cm³,1848,1705,5350 mm,1,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,4.755856,Standard,48 mm
12 mm,2650 mm,899.12 cm³,1863,1863,7950 mm,3,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,7.067113,Standard,48 mm
12 mm,2650 mm,899.12 cm³,1863,1863,7950 mm,3,STR-OUTER STRUCTURES,Slab Edge,,OS-SwitchGear,7.067113,Standard,48 mm
12 mm,5350 mm,1815.21 cm³,1848,1705,16050 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,14.267568,Standard,48 mm
12 mm,6000 mm,2714.40 cm³,2854,2891,24001 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,21.335167,Standard,48 mm
12 mm,3100 mm,1402.52 cm³,2847,2885,12401 mm,4,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,11.0238,Standard,48 mm
12 mm,1673 mm,946.28 cm³,2851,2887,8367 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.437791,Standard,48 mm
12 mm,8483 mm,4797.11 cm³,2850,2888,42416 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,37.705263,Standard,48 mm
12 mm,2650 mm,899.12 cm³,1863,1863,7950 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.067113,Standard,48 mm
12 mm,2650 mm,899.12 cm³,1863,1863,7950 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.067113,Standard,48 mm
12 mm,1673 mm,946.28 cm³,2851,2887,8367 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,7.437791,Standard,48 mm
12 mm,1024 mm,579.15 cm³,2852,2889,5121 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,4.552104,Standard,48 mm
12 mm,1024 mm,579.15 cm³,2852,2889,5121 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,4.552104,Standard,48 mm
12 mm,2650 mm,299.71 cm³,1863,1863,2650 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,2.355704,Standard,48 mm
12 mm,2650 mm,299.71 cm³,1863,1863,2650 mm,1,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,2.355704,Standard,48 mm
12 mm,5772 mm,3264.22 cm³,2853,2890,28862 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,25.656773,Standard,48 mm
12 mm,5772 mm,3264.22 cm³,2853,2890,28862 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,25.656773,Standard,48 mm
12 mm,8483 mm,4797.11 cm³,2850,2888,42416 mm,5,STR-OUTER STRUCTURES,Structural Foundation,,OS-SwitchGear,37.705263,Standard,48 mm
12 mm,2050 mm,695.55 cm³,1880,1730,6150 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,5.467012,Standard,48 mm
12 mm,2050 mm,695.55 cm³,1880,1730,6150 mm,3,STR-OUTER STRUCTURES,Structural Foundation,,OS-AHU,5.467012,Standard,48 mm
12 mm,2050 mm,231.85 cm³,1880,1730,2050 mm,1,STR-OUTER STRUCTURES,Slab Edge,,OS-AHU,1.822337,Standard,48 mm
12 mm,2050 mm,231.85 cm³,1880,1730,2050 mm,1,STR-OUTER STRUCTURES,Slab Edge,,OS-AHU,1.822337,Standard,48 mm
12 mm,2983 mm,337.39 cm³,333,349,2983 mm,1,STR-Model,Structural Column,,Corbel,2.651916,Stirrup / Tie,48 mm
12 mm,3135 mm,354.58 cm³,334,334,3135 mm,1,STR-Model,Structural Column,,Corbel,2.787036,Stirrup / Tie,48 mm
12 mm,3285 mm,371.55 cm³,339,347,3285 mm,1,STR-Model,Structural Column,,Corbel,2.920378,Stirrup / Tie,48 mm
12 mm,3435 mm,388.51 cm³,340,348,3435 mm,1,STR-Model,Structural Column,,Corbel,3.053719,Stirrup / Tie,48 mm
12 mm,2983 mm,337.39 cm³,333,349,2983 mm,1,STR-Model,Structural Column,,Corbel,2.651916,Stirrup / Tie,48 mm
12 mm,3135 mm,354.58 cm³,334,334,3135 mm,1,STR-Model,Structural Column,,Corbel,2.787036,Stirrup / Tie,48 mm
12 mm,3285 mm,371.55 cm³,339,347,3285 mm,1,STR-Model,Structural Column,,Corbel,2.920378,Stirrup / Tie,48 mm
12 mm,3435 mm,388.51 cm³,340,348,3435 mm,1,STR-Model,Structural Column,,Corbel,3.053719,Stirrup / Tie,48 mm
12 mm,2983 mm,337.39 cm³,333,349,2983 mm,1,STR-Model,Structural Column,,Corbel,2.651916,Stirrup / Tie,48 mm
12 mm,3135 mm,354.58 cm³,334,334,3135 mm,1,STR-Model,Structural Column,,Corbel,2.787036,Stirrup / Tie,48 mm
12 mm,3285 mm,371.55 cm³,339,347,3285 mm,1,STR-Model,Structural Column,,Corbel,2.920378,Stirrup / Tie,48 mm
12 mm,3435 mm,388.51 cm³,340,348,3435 mm,1,STR-Model,Structural Column,,Corbel,3.053719,Stirrup / Tie,48 mm
12 mm,2983 mm,337.39 cm³,333,349,2983 mm,1,STR-Model,Structural Column,,Corbel,2.651916,Stirrup / Tie,48 mm
12 mm,3135 mm,354.58 cm³,334,334,3135 mm,1,STR-Model,Structural Column,,Corbel,2.787036,Stirrup / Tie,48 mm
12 mm,3285 mm,371.55 cm³,339,347,3285 mm,1,STR-Model,Structural Column,,Corbel,2.920378,Stirrup / Tie,48 mm
12 mm,3435 mm,388.51 cm³,340,348,3435 mm,1,STR-Model,Structural Column,,Corbel,3.053719,Stirrup / Tie,48 mm
12 mm,2400 mm,2443.00 cm³,2911,2950,21601 mm,9,STR-Model,Structural Foundation,,,19.202006,Standard,12 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2972 mm,3024.69 cm³,2955,3009,26744 mm,9,STR-Model,Floor,,SOG-Mesh Bottom X,23.774088,Standard,48 mm
12 mm,3410 mm,3471.21 cm³,2956,3010,30692 mm,9,STR-Model,Floor,,SOG-Mesh Bottom X,27.283706,Standard,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,1597 mm,1264.09 cm³,3233,3204,11177 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.935779,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1151.12 cm³,3232,3203,10178 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,9.047769,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,1597 mm,902.92 cm³,3233,3204,7984 mm,5,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,7.096985,Stirrup / Tie,48 mm
12 mm,2036 mm,1611.56 cm³,3232,3203,14249 mm,7,STR-OUTER STRUCTURES,Structural Column,PC1 550X550,OS-CABLEBUS FOUNDATION,12.666877,Stirrup / Tie,48 mm
